physical_file,row_index,fold_index
Ma_xp_A2000_n65_r13_v00_90000.hdf5,144,0
Ma_xp_A2000_n65_r13_v00_90000.hdf5,145,0
Ma_xp_A2000_n65_r13_v00_90000.hdf5,146,0
Ma_xp_A2000_n65_r13_v00_90000.hdf5,147,0
Ma_xp_A2000_n65_r13_v00_90000.hdf5,148,0
Ma_xp_A2000_n65_r13_v00_90000.hdf5,149,0
Ma_xp_A2000_n65_r13_v00_90000.hdf5,150,0
Ma_xp_A2000_n65_r13_v00_90000.hdf5,151,0
Ma_xp_A2000_n65_r13_v00_90000.hdf5,152,0
Ma_xp_A2000_n65_r14_v00_90000.hdf5,153,1
Ma_xp_A2000_n65_r14_v00_90000.hdf5,154,1
Ma_xp_A2000_n65_r14_v00_90000.hdf5,155,1
Ma_xp_A2000_n65_r14_v00_90000.hdf5,156,1
Ma_xp_A2000_n65_r14_v00_90000.hdf5,157,1
Ma_xp_A2000_n65_r14_v00_90000.hdf5,158,1
Ma_xp_A2000_n65_r14_v00_90000.hdf5,159,1
Ma_xp_A2000_n65_r14_v00_90000.hdf5,160,1
Ma_xp_A2000_n65_r14_v00_90000.hdf5,161,1
Ma_xp_A2000_n65_r14_v02_90000.hdf5,162,1
Ma_xp_A2000_n65_r14_v04_90000.hdf5,163,0
Ma_xp_A2000_n65_r14_v06_90000.hdf5,164,4
Ma_xp_A2000_n65_r14_v08_90000.hdf5,165,3
Ma_xp_A2000_n65_r14_v10_90000.hdf5,166,2
Ma_xp_A2000_n65_r15_v00_90000.hdf5,167,3
Ma_xp_A2000_n65_r15_v00_90000.hdf5,168,3
Ma_xp_A2000_n65_r15_v00_90000.hdf5,169,3
Ma_xp_A2000_n65_r15_v00_90000.hdf5,170,3
Ma_xp_A2000_n65_r15_v00_90000.hdf5,171,3
Ma_xp_A2000_n65_r15_v00_90000.hdf5,172,3
Ma_xp_A2000_n65_r15_v00_90000.hdf5,173,3
Ma_xp_A2000_n65_r15_v00_90000.hdf5,174,3
Ma_xp_A2000_n65_r15_v00_90000.hdf5,175,3
Ma_xp_A2000_n65_r16_v00_90000.hdf5,176,2
Ma_xp_A2000_n65_r16_v00_90000.hdf5,177,2
Ma_xp_A2000_n65_r16_v00_90000.hdf5,178,2
Ma_xp_A2000_n65_r16_v00_90000.hdf5,179,2
Ma_xp_A2000_n65_r16_v00_90000.hdf5,180,2
Ma_xp_A2000_n65_r16_v00_90000.hdf5,181,2
Ma_xp_A2000_n65_r16_v00_90000.hdf5,182,2
Ma_xp_A2000_n65_r16_v00_90000.hdf5,183,2
Ma_xp_A2000_n65_r16_v00_90000.hdf5,184,2
Ma_xp_A2000_n65_r16_v02_90000.hdf5,185,4
Ma_xp_A2000_n65_r16_v04_90000.hdf5,186,3
Ma_xp_A2000_n65_r16_v06_90000.hdf5,187,2
Ma_xp_A2000_n65_r16_v08_90000.hdf5,188,1
Ma_xp_A2000_n65_r16_v10_90000.hdf5,189,0
Ma_xp_A2000_n65_r17_v00_90000.hdf5,190,1
Ma_xp_A2000_n65_r17_v00_90000.hdf5,191,1
Ma_xp_A2000_n65_r17_v00_90000.hdf5,192,1
Ma_xp_A2000_n65_r17_v00_90000.hdf5,193,1
Ma_xp_A2000_n65_r17_v00_90000.hdf5,194,1
Ma_xp_A2000_n65_r17_v00_90000.hdf5,195,1
Ma_xp_A2000_n65_r17_v00_90000.hdf5,196,1
Ma_xp_A2000_n65_r17_v00_90000.hdf5,197,1
Ma_xp_A2000_n65_r17_v00_90000.hdf5,198,1
Ma_xp_A2000_n65_r18_v00_90000.hdf5,199,0
Ma_xp_A2000_n65_r18_v00_90000.hdf5,200,0
Ma_xp_A2000_n65_r18_v00_90000.hdf5,201,0
Ma_xp_A2000_n65_r18_v00_90000.hdf5,202,0
Ma_xp_A2000_n65_r18_v00_90000.hdf5,203,0
Ma_xp_A2000_n65_r18_v00_90000.hdf5,204,0
Ma_xp_A2000_n65_r18_v00_90000.hdf5,205,0
Ma_xp_A2000_n65_r18_v00_90000.hdf5,206,0
Ma_xp_A2000_n65_r18_v00_90000.hdf5,207,0
Ma_xp_A2000_n65_r18_v02_90000.hdf5,208,2
Ma_xp_A2000_n65_r18_v04_90000.hdf5,209,1
Ma_xp_A2000_n65_r18_v06_90000.hdf5,210,0
Ma_xp_A2000_n65_r18_v08_90000.hdf5,211,4
Ma_xp_A2000_n65_r18_v10_90000.hdf5,212,3
Ma_xp_A2000_n65_r19_v00_90000.hdf5,213,4
Ma_xp_A2000_n65_r19_v00_90000.hdf5,214,4
Ma_xp_A2000_n65_r19_v00_90000.hdf5,215,4
Ma_xp_A2000_n65_r19_v00_90000.hdf5,216,4
Ma_xp_A2000_n65_r19_v00_90000.hdf5,217,4
Ma_xp_A2000_n65_r19_v00_90000.hdf5,218,4
Ma_xp_A2000_n65_r19_v00_90000.hdf5,219,4
Ma_xp_A2000_n65_r19_v00_90000.hdf5,220,4
Ma_xp_A2000_n65_r19_v00_90000.hdf5,221,4
Ma_xp_A2000_n65_r20_v00_90000.hdf5,222,3
Ma_xp_A2000_n65_r20_v00_90000.hdf5,223,3
Ma_xp_A2000_n65_r20_v00_90000.hdf5,224,3
Ma_xp_A2000_n65_r20_v00_90000.hdf5,225,3
Ma_xp_A2000_n65_r20_v00_90000.hdf5,226,3
Ma_xp_A2000_n65_r20_v00_90000.hdf5,227,3
Ma_xp_A2000_n65_r20_v00_90000.hdf5,228,3
Ma_xp_A2000_n65_r20_v00_90000.hdf5,229,3
Ma_xp_A2000_n65_r20_v00_90000.hdf5,230,3
Ma_xp_A2000_n65_r20_v02_90000.hdf5,231,1
Ma_xp_A2000_n65_r20_v04_90000.hdf5,232,4
Ma_xp_A2000_n65_r20_v06_90000.hdf5,233,2
Ma_xp_A2000_n65_r22_v00_90000.hdf5,234,2
Ma_xp_A2000_n65_r22_v00_90000.hdf5,235,2
Ma_xp_A2000_n65_r22_v00_90000.hdf5,236,2
Ma_xp_A2000_n65_r22_v00_90000.hdf5,237,2
Ma_xp_A2000_n65_r22_v00_90000.hdf5,238,2
Ma_xp_A2000_n65_r22_v00_90000.hdf5,239,2
Ma_xp_A2000_n65_r22_v00_90000.hdf5,240,2
Ma_xp_A2000_n65_r22_v00_90000.hdf5,241,2
Ma_xp_A2000_n65_r22_v00_90000.hdf5,242,2
Ma_xp_A2000_n65_r24_v00_90000.hdf5,243,4
Ma_xp_A2000_n65_r24_v00_90000.hdf5,244,4
Ma_xp_A2000_n65_r24_v00_90000.hdf5,245,4
Ma_xp_A2000_n65_r24_v00_90000.hdf5,246,4
Ma_xp_A2000_n65_r24_v00_90000.hdf5,247,4
Ma_xp_A2000_n65_r24_v00_90000.hdf5,248,4
Ma_xp_A2000_n65_r24_v00_90000.hdf5,249,4
Ma_xp_A2000_n65_r24_v00_90000.hdf5,250,4
Ma_xp_A2000_n65_r24_v00_90000.hdf5,251,4
Ma_xp_A2000_s030mz_n65_r12_v00_90000.hdf5,252,2
Ma_xp_A2000_s030x_n65_r12_v00_90000.hdf5,253,1
Ma_xp_A2000_s030x_n65_r16_v00_90000.hdf5,254,0
Ma_xp_A2000_s030x_n65_r16_v06_90000.hdf5,255,4
Ma_xp_A2000_s030x_n65_r20_v00_90000.hdf5,256,3
Ma_xp_A2000_s030y_n65_r12_v00_90000.hdf5,257,2
Ma_xp_A2000_s030y_n65_r16_v00_90000.hdf5,258,1
Ma_xp_A2000_s030y_n65_r16_v06_90000.hdf5,259,1
Ma_xp_A2000_s030y_n65_r20_v00_90000.hdf5,260,4
Ma_xp_A2000_s030z_n65_r11_v00_90000.hdf5,261,3
Ma_xp_A2000_s030z_n65_r12_v00_90000.hdf5,262,2
Ma_xp_A2000_s030z_n65_r12_v02_90000.hdf5,263,1
Ma_xp_A2000_s030z_n65_r12_v04_90000.hdf5,264,0
Ma_xp_A2000_s030z_n65_r12_v06_90000.hdf5,265,4
Ma_xp_A2000_s030z_n65_r12_v08_90000.hdf5,266,3
Ma_xp_A2000_s030z_n65_r12_v10_90000.hdf5,267,2
Ma_xp_A2000_s030z_n65_r12_v12_90000.hdf5,268,1
Ma_xp_A2000_s030z_n65_r12_v14_90000.hdf5,269,0
Ma_xp_A2000_s030z_n65_r12_v16_90000.hdf5,270,4
Ma_xp_A2000_s030z_n65_r13_v00_90000.hdf5,271,3
Ma_xp_A2000_s030z_n65_r14_v00_90000.hdf5,272,2
Ma_xp_A2000_s030z_n65_r15_v00_90000.hdf5,273,1
Ma_xp_A2000_s030z_n65_r16_v00_90000.hdf5,274,0
Ma_xp_A2000_s030z_n65_r16_v02_90000.hdf5,275,4
Ma_xp_A2000_s030z_n65_r16_v06_90000.hdf5,276,3
Ma_xp_A2000_s030z_n65_r16_v08_90000.hdf5,277,2
Ma_xp_A2000_s030z_n65_r16_v10_90000.hdf5,278,1
Ma_xp_A2000_s030z_n65_r17_v00_90000.hdf5,279,0
Ma_xp_A2000_s030z_n65_r18_v00_90000.hdf5,280,4
Ma_xp_A2000_s030z_n65_r19_v00_90000.hdf5,281,0
Ma_xp_A2000_s030z_n65_r20_v00_90000.hdf5,282,1
Ma_xp_A2000_s030z_n65_r20_v02_90000.hdf5,283,2
Ma_xp_A2000_s030z_n65_r20_v04_90000.hdf5,284,0
Ma_xp_A2000_s030z_n65_r20_v06_90000.hdf5,285,4
Ma_xp_A2000_s030z_n65_r20_v08_90000.hdf5,286,3
Ma_xp_A2000_s030z_n65_r20_v10_90000.hdf5,287,2
Ma_xp_A2000_s030z_n65_r22_v00_90000.hdf5,288,1
Ma_xp_A2000_s030z_n65_r24_v00_90000.hdf5,289,0
Ma_xp_A2000_s030z_n65_r26_v00_90000.hdf5,290,4
Ma_xp_A2000_s030z_n65_r28_v00_90000.hdf5,291,3
Ma_xp_A2000_s030z_n65_r30_v00_90000.hdf5,292,2
Ma_xp_A2000_s036mz_n65_r12_v00_90000.hdf5,293,1
Ma_xp_A2000_s036x_n65_r12_v00_90000.hdf5,294,0
Ma_xp_A2000_s036x_n65_r16_v00_90000.hdf5,295,4
Ma_xp_A2000_s036x_n65_r16_v06_90000.hdf5,296,3
Ma_xp_A2000_s036x_n65_r20_v00_90000.hdf5,297,1
Ma_xp_A2000_s036y_n65_r12_v00_90000.hdf5,298,2
Ma_xp_A2000_s036y_n65_r16_v00_90000.hdf5,299,0
Ma_xp_A2000_s036y_n65_r16_v06_90000.hdf5,300,4
Ma_xp_A2000_s036y_n65_r20_v00_90000.hdf5,301,3
Ma_xp_A2000_s036z_n65_r12_v00_90000.hdf5,302,2
Ma_xp_A2000_s036z_n65_r16_v00_90000.hdf5,303,1
Ma_xp_A2000_s036z_n65_r16_v06_90000.hdf5,304,0
Ma_xp_A2000_s036z_n65_r20_v00_90000.hdf5,305,4
Ma_xp_A2000_s047mz_n65_r12_v00_90000.hdf5,306,3
Ma_xp_A2000_s047mz_n65_r16_v00_90000.hdf5,307,2
Ma_xp_A2000_s047mz_n65_r16_v06_90000.hdf5,308,1
Ma_xp_A2000_s047x_n65_r12_v00_90000.hdf5,309,0
Ma_xp_A2000_s047x_n65_r16_v00_90000.hdf5,310,4
Ma_xp_A2000_s047x_n65_r16_v06_90000.hdf5,311,3
Ma_xp_A2000_s047x_n65_r20_v00_90000.hdf5,312,4
Ma_xp_A2000_s047y_n65_r12_v00_90000.hdf5,313,2
Ma_xp_A2000_s047y_n65_r16_v00_90000.hdf5,314,4
Ma_xp_A2000_s047y_n65_r16_v06_90000.hdf5,315,1
Ma_xp_A2000_s047y_n65_r20_v00_90000.hdf5,316,3
Ma_xp_A2000_s047z_n65_r11_v00_90000.hdf5,317,2
Ma_xp_A2000_s047z_n65_r12_v00_90000.hdf5,318,1
Ma_xp_A2000_s047z_n65_r12_v02_90000.hdf5,319,0
Ma_xp_A2000_s047z_n65_r12_v04_90000.hdf5,320,4
Ma_xp_A2000_s047z_n65_r12_v06_90000.hdf5,321,3
Ma_xp_A2000_s047z_n65_r12_v08_90000.hdf5,322,2
Ma_xp_A2000_s047z_n65_r12_v10_90000.hdf5,323,1
Ma_xp_A2000_s047z_n65_r12_v12_90000.hdf5,324,0
Ma_xp_A2000_s047z_n65_r12_v14_90000.hdf5,325,4
Ma_xp_A2000_s047z_n65_r12_v16_90000.hdf5,326,3
Ma_xp_A2000_s047z_n65_r13_v00_90000.hdf5,327,2
Ma_xp_A2000_s047z_n65_r14_v00_90000.hdf5,328,1
Ma_xp_A2000_s047z_n65_r15_v00_90000.hdf5,329,0
Ma_xp_A2000_s047z_n65_r16_v00_90000.hdf5,330,4
Ma_xp_A2000_s047z_n65_r16_v02_90000.hdf5,331,3
Ma_xp_A2000_s047z_n65_r16_v04_90000.hdf5,332,2
Ma_xp_A2000_s047z_n65_r16_v06_90000.hdf5,333,1
Ma_xp_A2000_s047z_n65_r16_v08_90000.hdf5,334,0
Ma_xp_A2000_s047z_n65_r16_v10_90000.hdf5,335,4
Ma_xp_A2000_s047z_n65_r17_v00_90000.hdf5,336,3
Ma_xp_A2000_s047z_n65_r18_v00_90000.hdf5,337,2
Ma_xp_A2000_s047z_n65_r19_v00_90000.hdf5,338,1
Ma_xp_A2000_s047z_n65_r20_v00_90000.hdf5,339,0
Ma_xp_A2000_s047z_n65_r20_v02_90000.hdf5,340,4
Ma_xp_A2000_s047z_n65_r20_v04_90000.hdf5,341,3
Ma_xp_A2000_s047z_n65_r20_v06_90000.hdf5,342,2
Ma_xp_A2000_s047z_n65_r20_v08_90000.hdf5,343,1
Ma_xp_A2000_s047z_n65_r20_v10_90000.hdf5,344,0
Ma_xp_A2000_s047z_n65_r22_v00_90000.hdf5,345,4
Ma_xp_A2000_s047z_n65_r24_v00_90000.hdf5,346,0
Ma_xp_A2000_s047z_n65_r26_v00_90000.hdf5,347,1
Ma_xp_A2000_s047z_n65_r28_v00_90000.hdf5,348,2
Ma_xp_A2000_s047z_n65_r30_v00_90000.hdf5,349,0
Ma_xp_A2000_s086mz_n65_r12_v00_90000.hdf5,350,4
Ma_xp_A2000_s086mz_n65_r16_v00_90000.hdf5,351,3
Ma_xp_A2000_s086mz_n65_r16_v06_90000.hdf5,352,2
Ma_xp_A2000_s086x_n65_r12_v00_90000.hdf5,353,1
Ma_xp_A2000_s086x_n65_r16_v00_90000.hdf5,354,0
Ma_xp_A2000_s086x_n65_r16_v06_90000.hdf5,355,4
Ma_xp_A2000_s086x_n65_r20_v00_90000.hdf5,356,3
Ma_xp_A2000_s086y_n65_r12_v00_90000.hdf5,357,2
Ma_xp_A2000_s086y_n65_r16_v00_90000.hdf5,358,1
Ma_xp_A2000_s086y_n65_r16_v06_90000.hdf5,359,0
Ma_xp_A2000_s086y_n65_r20_v00_90000.hdf5,360,4
Ma_xp_A2000_s086z_n65_r12_v00_90000.hdf5,361,3
Ma_xp_A2000_s086z_n65_r16_v00_90000.hdf5,362,1
Ma_xp_A2000_s086z_n65_r16_v06_90000.hdf5,363,2
Ma_xp_A2000_s086z_n65_r20_v00_90000.hdf5,364,0
Ma_xp_A2000_s170mz_n65_r12_v00_90000.hdf5,365,4
Ma_xp_A2000_s170mz_n65_r16_v00_90000.hdf5,366,3
Ma_xp_A2000_s170mz_n65_r16_v06_90000.hdf5,367,2
Ma_xp_A2000_s170x_n65_r12_v00_90000.hdf5,368,1
Ma_xp_A2000_s170x_n65_r16_v00_90000.hdf5,369,0
Ma_xp_A2000_s170x_n65_r16_v06_90000.hdf5,370,4
Ma_xp_A2000_s170x_n65_r20_v00_90000.hdf5,371,3
Ma_xp_A2000_s170y_n65_r12_v00_90000.hdf5,372,2
Ma_xp_A2000_s170y_n65_r16_v00_90000.hdf5,373,1
Ma_xp_A2000_s170y_n65_r16_v06_90000.hdf5,374,0
Ma_xp_A2000_s170y_n65_r20_v00_90000.hdf5,375,4
Ma_xp_A2000_s170z_n65_r12_v00_90000.hdf5,376,3
Ma_xp_A2000_s170z_n65_r16_v00_90000.hdf5,377,3
Ma_xp_A2000_s170z_n65_r16_v06_90000.hdf5,378,1
Ma_xp_A2000_s170z_n65_r20_v00_90000.hdf5,379,0
Ma_xp_A2000c30_n65_r12_v00_90000.hdf5,380,3
Ma_xp_A2000c30_n65_r12_v02_90000.hdf5,381,3
Ma_xp_A2000c30_n65_r12_v04_90000.hdf5,382,1
Ma_xp_A2000c30_n65_r12_v06_90000.hdf5,383,2
Ma_xp_A2000c30_n65_r12_v08_90000.hdf5,384,3
Ma_xp_A2000c30_n65_r12_v10_90000.hdf5,385,4
Ma_xp_A2000c30_n65_r14_v00_90000.hdf5,386,0
Ma_xp_A2000c30_n65_r16_v00_90000.hdf5,387,1
Ma_xp_A2000c30_n65_r16_v02_90000.hdf5,388,2
Ma_xp_A2000c30_n65_r16_v04_90000.hdf5,389,3
Ma_xp_A2000c30_n65_r16_v06_90000.hdf5,390,0
Ma_xp_A2000c30_n65_r16_v10_90000.hdf5,391,4
Ma_xp_A2000c30_n65_r18_v00_90000.hdf5,392,2
Ma_xp_A2000c30_n65_r20_v00_90000.hdf5,393,1
Ma_xp_A2000c30_n65_r22_v00_90000.hdf5,394,4
Ma_xp_A2050_n70_r12_v00_90000.hdf5,395,4
Ma_xp_A2050_n70_r12_v00_90000.hdf5,396,4
Ma_xp_A2050_n70_r12_v00_90000.hdf5,397,4
Ma_xp_A2050_n70_r16_v00_90000.hdf5,398,3
Ma_xp_A2050_n70_r16_v00_90000.hdf5,399,3
Ma_xp_A2050_n70_r16_v00_90000.hdf5,400,3
Ma_xp_A2100_n70_r12_v00_90000.hdf5,401,0
Ma_xp_A2100_n70_r12_v00_90000.hdf5,402,0
Ma_xp_A2100_n70_r12_v00_90000.hdf5,403,0
Ma_xp_A2100_n70_r16_v00_90000.hdf5,404,1
Ma_xp_A2100_n70_r16_v00_90000.hdf5,405,1
Ma_xp_A2100_n70_r16_v00_90000.hdf5,406,1
