row_index,physical_file,fold_index
119,Ma_xp_A2000_n65_r11_v00_90000.hdf5,1
120,Ma_xp_A2000_n65_r11_v00_90000.hdf5,1
121,Ma_xp_A2000_n65_r11_v00_90000.hdf5,1
122,Ma_xp_A2000_n65_r11_v00_90000.hdf5,1
123,Ma_xp_A2000_n65_r11_v00_90000.hdf5,1
124,Ma_xp_A2000_n65_r11_v00_90000.hdf5,1
125,Ma_xp_A2000_n65_r11_v00_90000.hdf5,1
126,Ma_xp_A2000_n65_r11_v00_90000.hdf5,1
127,Ma_xp_A2000_n65_r12_v00_90000.hdf5,0
128,Ma_xp_A2000_n65_r12_v00_90000.hdf5,0
129,Ma_xp_A2000_n65_r12_v00_90000.hdf5,0
130,Ma_xp_A2000_n65_r12_v00_90000.hdf5,0
131,Ma_xp_A2000_n65_r12_v00_90000.hdf5,0
132,Ma_xp_A2000_n65_r12_v00_90000.hdf5,0
133,Ma_xp_A2000_n65_r12_v00_90000.hdf5,0
134,Ma_xp_A2000_n65_r12_v00_90000.hdf5,0
135,Ma_xp_A2000_n65_r12_v00_90000.hdf5,0
136,Ma_xp_A2000_n65_r12_v02_90000.hdf5,0
137,Ma_xp_A2000_n65_r12_v04_90000.hdf5,4
138,Ma_xp_A2000_n65_r12_v06_90000.hdf5,3
139,Ma_xp_A2000_n65_r12_v08_90000.hdf5,2
140,Ma_xp_A2000_n65_r12_v10_90000.hdf5,1
141,Ma_xp_A2000_n65_r12_v12_90000.hdf5,0
142,Ma_xp_A2000_n65_r12_v14_90000.hdf5,4
143,Ma_xp_A2000_n65_r12_v16_90000.hdf5,3
144,Ma_xp_A2000_n65_r13_v00_90000.hdf5,4
145,Ma_xp_A2000_n65_r13_v00_90000.hdf5,4
146,Ma_xp_A2000_n65_r13_v00_90000.hdf5,4
147,Ma_xp_A2000_n65_r13_v00_90000.hdf5,4
148,Ma_xp_A2000_n65_r13_v00_90000.hdf5,4
149,Ma_xp_A2000_n65_r13_v00_90000.hdf5,4
150,Ma_xp_A2000_n65_r13_v00_90000.hdf5,4
151,Ma_xp_A2000_n65_r13_v00_90000.hdf5,4
152,Ma_xp_A2000_n65_r13_v00_90000.hdf5,4
153,Ma_xp_A2000_n65_r14_v00_90000.hdf5,3
154,Ma_xp_A2000_n65_r14_v00_90000.hdf5,3
155,Ma_xp_A2000_n65_r14_v00_90000.hdf5,3
156,Ma_xp_A2000_n65_r14_v00_90000.hdf5,3
157,Ma_xp_A2000_n65_r14_v00_90000.hdf5,3
158,Ma_xp_A2000_n65_r14_v00_90000.hdf5,3
159,Ma_xp_A2000_n65_r14_v00_90000.hdf5,3
160,Ma_xp_A2000_n65_r14_v00_90000.hdf5,3
161,Ma_xp_A2000_n65_r14_v00_90000.hdf5,3
162,Ma_xp_A2000_n65_r14_v02_90000.hdf5,2
163,Ma_xp_A2000_n65_r14_v04_90000.hdf5,1
164,Ma_xp_A2000_n65_r14_v06_90000.hdf5,0
165,Ma_xp_A2000_n65_r14_v08_90000.hdf5,4
166,Ma_xp_A2000_n65_r14_v10_90000.hdf5,3
167,Ma_xp_A2000_n65_r15_v00_90000.hdf5,2
168,Ma_xp_A2000_n65_r15_v00_90000.hdf5,2
169,Ma_xp_A2000_n65_r15_v00_90000.hdf5,2
170,Ma_xp_A2000_n65_r15_v00_90000.hdf5,2
171,Ma_xp_A2000_n65_r15_v00_90000.hdf5,2
172,Ma_xp_A2000_n65_r15_v00_90000.hdf5,2
173,Ma_xp_A2000_n65_r15_v00_90000.hdf5,2
174,Ma_xp_A2000_n65_r15_v00_90000.hdf5,2
175,Ma_xp_A2000_n65_r15_v00_90000.hdf5,2
176,Ma_xp_A2000_n65_r16_v00_90000.hdf5,1
177,Ma_xp_A2000_n65_r16_v00_90000.hdf5,1
178,Ma_xp_A2000_n65_r16_v00_90000.hdf5,1
179,Ma_xp_A2000_n65_r16_v00_90000.hdf5,1
180,Ma_xp_A2000_n65_r16_v00_90000.hdf5,1
181,Ma_xp_A2000_n65_r16_v00_90000.hdf5,1
182,Ma_xp_A2000_n65_r16_v00_90000.hdf5,1
183,Ma_xp_A2000_n65_r16_v00_90000.hdf5,1
184,Ma_xp_A2000_n65_r16_v00_90000.hdf5,1
185,Ma_xp_A2000_n65_r16_v02_90000.hdf5,2
186,Ma_xp_A2000_n65_r16_v04_90000.hdf5,1
187,Ma_xp_A2000_n65_r16_v06_90000.hdf5,0
188,Ma_xp_A2000_n65_r16_v08_90000.hdf5,4
189,Ma_xp_A2000_n65_r16_v10_90000.hdf5,3
190,Ma_xp_A2000_n65_r17_v00_90000.hdf5,0
191,Ma_xp_A2000_n65_r17_v00_90000.hdf5,0
192,Ma_xp_A2000_n65_r17_v00_90000.hdf5,0
193,Ma_xp_A2000_n65_r17_v00_90000.hdf5,0
194,Ma_xp_A2000_n65_r17_v00_90000.hdf5,0
195,Ma_xp_A2000_n65_r17_v00_90000.hdf5,0
196,Ma_xp_A2000_n65_r17_v00_90000.hdf5,0
197,Ma_xp_A2000_n65_r17_v00_90000.hdf5,0
198,Ma_xp_A2000_n65_r17_v00_90000.hdf5,0
199,Ma_xp_A2000_n65_r18_v00_90000.hdf5,4
200,Ma_xp_A2000_n65_r18_v00_90000.hdf5,4
201,Ma_xp_A2000_n65_r18_v00_90000.hdf5,4
202,Ma_xp_A2000_n65_r18_v00_90000.hdf5,4
203,Ma_xp_A2000_n65_r18_v00_90000.hdf5,4
204,Ma_xp_A2000_n65_r18_v00_90000.hdf5,4
205,Ma_xp_A2000_n65_r18_v00_90000.hdf5,4
206,Ma_xp_A2000_n65_r18_v00_90000.hdf5,4
207,Ma_xp_A2000_n65_r18_v00_90000.hdf5,4
208,Ma_xp_A2000_n65_r18_v02_90000.hdf5,2
209,Ma_xp_A2000_n65_r18_v04_90000.hdf5,1
210,Ma_xp_A2000_n65_r18_v06_90000.hdf5,0
211,Ma_xp_A2000_n65_r18_v08_90000.hdf5,4
212,Ma_xp_A2000_n65_r18_v10_90000.hdf5,3
213,Ma_xp_A2000_n65_r19_v00_90000.hdf5,3
214,Ma_xp_A2000_n65_r19_v00_90000.hdf5,3
215,Ma_xp_A2000_n65_r19_v00_90000.hdf5,3
216,Ma_xp_A2000_n65_r19_v00_90000.hdf5,3
217,Ma_xp_A2000_n65_r19_v00_90000.hdf5,3
218,Ma_xp_A2000_n65_r19_v00_90000.hdf5,3
219,Ma_xp_A2000_n65_r19_v00_90000.hdf5,3
220,Ma_xp_A2000_n65_r19_v00_90000.hdf5,3
221,Ma_xp_A2000_n65_r19_v00_90000.hdf5,3
222,Ma_xp_A2000_n65_r20_v00_90000.hdf5,2
223,Ma_xp_A2000_n65_r20_v00_90000.hdf5,2
224,Ma_xp_A2000_n65_r20_v00_90000.hdf5,2
225,Ma_xp_A2000_n65_r20_v00_90000.hdf5,2
226,Ma_xp_A2000_n65_r20_v00_90000.hdf5,2
227,Ma_xp_A2000_n65_r20_v00_90000.hdf5,2
228,Ma_xp_A2000_n65_r20_v00_90000.hdf5,2
229,Ma_xp_A2000_n65_r20_v00_90000.hdf5,2
230,Ma_xp_A2000_n65_r20_v00_90000.hdf5,2
231,Ma_xp_A2000_n65_r20_v02_90000.hdf5,2
232,Ma_xp_A2000_n65_r20_v04_90000.hdf5,1
233,Ma_xp_A2000_n65_r20_v06_90000.hdf5,0
234,Ma_xp_A2000_n65_r22_v00_90000.hdf5,1
235,Ma_xp_A2000_n65_r22_v00_90000.hdf5,1
236,Ma_xp_A2000_n65_r22_v00_90000.hdf5,1
237,Ma_xp_A2000_n65_r22_v00_90000.hdf5,1
238,Ma_xp_A2000_n65_r22_v00_90000.hdf5,1
239,Ma_xp_A2000_n65_r22_v00_90000.hdf5,1
240,Ma_xp_A2000_n65_r22_v00_90000.hdf5,1
241,Ma_xp_A2000_n65_r22_v00_90000.hdf5,1
242,Ma_xp_A2000_n65_r22_v00_90000.hdf5,1
243,Ma_xp_A2000_n65_r24_v00_90000.hdf5,0
244,Ma_xp_A2000_n65_r24_v00_90000.hdf5,0
245,Ma_xp_A2000_n65_r24_v00_90000.hdf5,0
246,Ma_xp_A2000_n65_r24_v00_90000.hdf5,0
247,Ma_xp_A2000_n65_r24_v00_90000.hdf5,0
248,Ma_xp_A2000_n65_r24_v00_90000.hdf5,0
249,Ma_xp_A2000_n65_r24_v00_90000.hdf5,0
250,Ma_xp_A2000_n65_r24_v00_90000.hdf5,0
251,Ma_xp_A2000_n65_r24_v00_90000.hdf5,0
252,Ma_xp_A2000_s030mz_n65_r12_v00_90000.hdf5,4
253,Ma_xp_A2000_s030x_n65_r12_v00_90000.hdf5,3
254,Ma_xp_A2000_s030x_n65_r16_v00_90000.hdf5,2
255,Ma_xp_A2000_s030x_n65_r16_v06_90000.hdf5,1
256,Ma_xp_A2000_s030x_n65_r20_v00_90000.hdf5,0
257,Ma_xp_A2000_s030y_n65_r12_v00_90000.hdf5,4
258,Ma_xp_A2000_s030y_n65_r16_v00_90000.hdf5,3
259,Ma_xp_A2000_s030y_n65_r16_v06_90000.hdf5,2
260,Ma_xp_A2000_s030y_n65_r20_v00_90000.hdf5,1
261,Ma_xp_A2000_s030z_n65_r11_v00_90000.hdf5,0
262,Ma_xp_A2000_s030z_n65_r12_v00_90000.hdf5,4
263,Ma_xp_A2000_s030z_n65_r12_v02_90000.hdf5,3
264,Ma_xp_A2000_s030z_n65_r12_v04_90000.hdf5,2
265,Ma_xp_A2000_s030z_n65_r12_v06_90000.hdf5,1
266,Ma_xp_A2000_s030z_n65_r12_v08_90000.hdf5,0
267,Ma_xp_A2000_s030z_n65_r12_v10_90000.hdf5,4
268,Ma_xp_A2000_s030z_n65_r12_v12_90000.hdf5,3
269,Ma_xp_A2000_s030z_n65_r12_v14_90000.hdf5,2
270,Ma_xp_A2000_s030z_n65_r12_v16_90000.hdf5,1
271,Ma_xp_A2000_s030z_n65_r13_v00_90000.hdf5,0
272,Ma_xp_A2000_s030z_n65_r14_v00_90000.hdf5,4
273,Ma_xp_A2000_s030z_n65_r15_v00_90000.hdf5,3
274,Ma_xp_A2000_s030z_n65_r16_v00_90000.hdf5,2
275,Ma_xp_A2000_s030z_n65_r16_v02_90000.hdf5,1
276,Ma_xp_A2000_s030z_n65_r16_v06_90000.hdf5,0
277,Ma_xp_A2000_s030z_n65_r16_v08_90000.hdf5,4
278,Ma_xp_A2000_s030z_n65_r16_v10_90000.hdf5,3
279,Ma_xp_A2000_s030z_n65_r17_v00_90000.hdf5,2
280,Ma_xp_A2000_s030z_n65_r18_v00_90000.hdf5,1
281,Ma_xp_A2000_s030z_n65_r19_v00_90000.hdf5,0
282,Ma_xp_A2000_s030z_n65_r20_v00_90000.hdf5,4
283,Ma_xp_A2000_s030z_n65_r20_v02_90000.hdf5,3
284,Ma_xp_A2000_s030z_n65_r20_v04_90000.hdf5,2
285,Ma_xp_A2000_s030z_n65_r20_v06_90000.hdf5,1
286,Ma_xp_A2000_s030z_n65_r20_v08_90000.hdf5,0
287,Ma_xp_A2000_s030z_n65_r20_v10_90000.hdf5,4
288,Ma_xp_A2000_s030z_n65_r22_v00_90000.hdf5,3
289,Ma_xp_A2000_s030z_n65_r24_v00_90000.hdf5,2
290,Ma_xp_A2000_s030z_n65_r26_v00_90000.hdf5,1
291,Ma_xp_A2000_s030z_n65_r28_v00_90000.hdf5,0
292,Ma_xp_A2000_s030z_n65_r30_v00_90000.hdf5,4
293,Ma_xp_A2000_s036mz_n65_r12_v00_90000.hdf5,3
294,Ma_xp_A2000_s036x_n65_r12_v00_90000.hdf5,2
295,Ma_xp_A2000_s036x_n65_r16_v00_90000.hdf5,1
296,Ma_xp_A2000_s036x_n65_r16_v06_90000.hdf5,0
297,Ma_xp_A2000_s036x_n65_r20_v00_90000.hdf5,4
298,Ma_xp_A2000_s036y_n65_r12_v00_90000.hdf5,3
299,Ma_xp_A2000_s036y_n65_r16_v00_90000.hdf5,2
300,Ma_xp_A2000_s036y_n65_r16_v06_90000.hdf5,1
301,Ma_xp_A2000_s036y_n65_r20_v00_90000.hdf5,0
302,Ma_xp_A2000_s036z_n65_r12_v00_90000.hdf5,4
303,Ma_xp_A2000_s036z_n65_r16_v00_90000.hdf5,3
304,Ma_xp_A2000_s036z_n65_r16_v06_90000.hdf5,2
305,Ma_xp_A2000_s036z_n65_r20_v00_90000.hdf5,1
306,Ma_xp_A2000_s047mz_n65_r12_v00_90000.hdf5,0
307,Ma_xp_A2000_s047mz_n65_r16_v00_90000.hdf5,4
308,Ma_xp_A2000_s047mz_n65_r16_v06_90000.hdf5,3
309,Ma_xp_A2000_s047x_n65_r12_v00_90000.hdf5,2
310,Ma_xp_A2000_s047x_n65_r16_v00_90000.hdf5,1
311,Ma_xp_A2000_s047x_n65_r16_v06_90000.hdf5,0
312,Ma_xp_A2000_s047x_n65_r20_v00_90000.hdf5,4
313,Ma_xp_A2000_s047y_n65_r12_v00_90000.hdf5,3
314,Ma_xp_A2000_s047y_n65_r16_v00_90000.hdf5,2
315,Ma_xp_A2000_s047y_n65_r16_v06_90000.hdf5,1
316,Ma_xp_A2000_s047y_n65_r20_v00_90000.hdf5,0
317,Ma_xp_A2000_s047z_n65_r11_v00_90000.hdf5,4
318,Ma_xp_A2000_s047z_n65_r12_v00_90000.hdf5,3
319,Ma_xp_A2000_s047z_n65_r12_v02_90000.hdf5,2
320,Ma_xp_A2000_s047z_n65_r12_v04_90000.hdf5,1
321,Ma_xp_A2000_s047z_n65_r12_v06_90000.hdf5,0
322,Ma_xp_A2000_s047z_n65_r12_v08_90000.hdf5,4
323,Ma_xp_A2000_s047z_n65_r12_v10_90000.hdf5,3
324,Ma_xp_A2000_s047z_n65_r12_v12_90000.hdf5,2
325,Ma_xp_A2000_s047z_n65_r12_v14_90000.hdf5,1
326,Ma_xp_A2000_s047z_n65_r12_v16_90000.hdf5,0
327,Ma_xp_A2000_s047z_n65_r13_v00_90000.hdf5,4
328,Ma_xp_A2000_s047z_n65_r14_v00_90000.hdf5,3
329,Ma_xp_A2000_s047z_n65_r15_v00_90000.hdf5,2
330,Ma_xp_A2000_s047z_n65_r16_v00_90000.hdf5,1
331,Ma_xp_A2000_s047z_n65_r16_v02_90000.hdf5,0
332,Ma_xp_A2000_s047z_n65_r16_v04_90000.hdf5,4
333,Ma_xp_A2000_s047z_n65_r16_v06_90000.hdf5,3
334,Ma_xp_A2000_s047z_n65_r16_v08_90000.hdf5,2
335,Ma_xp_A2000_s047z_n65_r16_v10_90000.hdf5,1
336,Ma_xp_A2000_s047z_n65_r17_v00_90000.hdf5,0
337,Ma_xp_A2000_s047z_n65_r18_v00_90000.hdf5,4
338,Ma_xp_A2000_s047z_n65_r19_v00_90000.hdf5,3
339,Ma_xp_A2000_s047z_n65_r20_v00_90000.hdf5,2
340,Ma_xp_A2000_s047z_n65_r20_v02_90000.hdf5,1
341,Ma_xp_A2000_s047z_n65_r20_v04_90000.hdf5,0
342,Ma_xp_A2000_s047z_n65_r20_v06_90000.hdf5,4
343,Ma_xp_A2000_s047z_n65_r20_v08_90000.hdf5,3
344,Ma_xp_A2000_s047z_n65_r20_v10_90000.hdf5,2
345,Ma_xp_A2000_s047z_n65_r22_v00_90000.hdf5,1
346,Ma_xp_A2000_s047z_n65_r24_v00_90000.hdf5,0
347,Ma_xp_A2000_s047z_n65_r26_v00_90000.hdf5,4
348,Ma_xp_A2000_s047z_n65_r28_v00_90000.hdf5,3
349,Ma_xp_A2000_s047z_n65_r30_v00_90000.hdf5,2
350,Ma_xp_A2000_s086mz_n65_r12_v00_90000.hdf5,1
351,Ma_xp_A2000_s086mz_n65_r16_v00_90000.hdf5,0
352,Ma_xp_A2000_s086mz_n65_r16_v06_90000.hdf5,4
353,Ma_xp_A2000_s086x_n65_r12_v00_90000.hdf5,3
354,Ma_xp_A2000_s086x_n65_r16_v00_90000.hdf5,2
355,Ma_xp_A2000_s086x_n65_r16_v06_90000.hdf5,1
356,Ma_xp_A2000_s086x_n65_r20_v00_90000.hdf5,0
357,Ma_xp_A2000_s086y_n65_r12_v00_90000.hdf5,4
358,Ma_xp_A2000_s086y_n65_r16_v00_90000.hdf5,3
359,Ma_xp_A2000_s086y_n65_r16_v06_90000.hdf5,2
360,Ma_xp_A2000_s086y_n65_r20_v00_90000.hdf5,1
361,Ma_xp_A2000_s086z_n65_r12_v00_90000.hdf5,0
362,Ma_xp_A2000_s086z_n65_r16_v00_90000.hdf5,4
363,Ma_xp_A2000_s086z_n65_r16_v06_90000.hdf5,3
364,Ma_xp_A2000_s086z_n65_r20_v00_90000.hdf5,2
365,Ma_xp_A2000_s170mz_n65_r12_v00_90000.hdf5,1
366,Ma_xp_A2000_s170mz_n65_r16_v00_90000.hdf5,0
367,Ma_xp_A2000_s170mz_n65_r16_v06_90000.hdf5,4
368,Ma_xp_A2000_s170x_n65_r12_v00_90000.hdf5,3
369,Ma_xp_A2000_s170x_n65_r16_v00_90000.hdf5,2
370,Ma_xp_A2000_s170x_n65_r16_v06_90000.hdf5,1
371,Ma_xp_A2000_s170x_n65_r20_v00_90000.hdf5,0
372,Ma_xp_A2000_s170y_n65_r12_v00_90000.hdf5,4
373,Ma_xp_A2000_s170y_n65_r16_v00_90000.hdf5,3
374,Ma_xp_A2000_s170y_n65_r16_v06_90000.hdf5,2
375,Ma_xp_A2000_s170y_n65_r20_v00_90000.hdf5,1
376,Ma_xp_A2000_s170z_n65_r12_v00_90000.hdf5,0
377,Ma_xp_A2000_s170z_n65_r16_v00_90000.hdf5,4
378,Ma_xp_A2000_s170z_n65_r16_v06_90000.hdf5,3
379,Ma_xp_A2000_s170z_n65_r20_v00_90000.hdf5,2
380,Ma_xp_A2000c30_n65_r12_v00_90000.hdf5,1
381,Ma_xp_A2000c30_n65_r12_v02_90000.hdf5,0
382,Ma_xp_A2000c30_n65_r12_v04_90000.hdf5,4
383,Ma_xp_A2000c30_n65_r12_v06_90000.hdf5,3
384,Ma_xp_A2000c30_n65_r12_v08_90000.hdf5,2
385,Ma_xp_A2000c30_n65_r12_v10_90000.hdf5,1
386,Ma_xp_A2000c30_n65_r14_v00_90000.hdf5,0
387,Ma_xp_A2000c30_n65_r16_v00_90000.hdf5,4
388,Ma_xp_A2000c30_n65_r16_v02_90000.hdf5,3
389,Ma_xp_A2000c30_n65_r16_v04_90000.hdf5,2
390,Ma_xp_A2000c30_n65_r16_v06_90000.hdf5,1
391,Ma_xp_A2000c30_n65_r16_v10_90000.hdf5,4
392,Ma_xp_A2000c30_n65_r18_v00_90000.hdf5,3
393,Ma_xp_A2000c30_n65_r20_v00_90000.hdf5,2
394,Ma_xp_A2000c30_n65_r22_v00_90000.hdf5,1
395,Ma_xp_A2050_n70_r12_v00_90000.hdf5,4
396,Ma_xp_A2050_n70_r12_v00_90000.hdf5,4
397,Ma_xp_A2050_n70_r12_v00_90000.hdf5,4
398,Ma_xp_A2050_n70_r16_v00_90000.hdf5,3
399,Ma_xp_A2050_n70_r16_v00_90000.hdf5,3
400,Ma_xp_A2050_n70_r16_v00_90000.hdf5,3
401,Ma_xp_A2100_n70_r12_v00_90000.hdf5,1
402,Ma_xp_A2100_n70_r12_v00_90000.hdf5,1
403,Ma_xp_A2100_n70_r12_v00_90000.hdf5,1
404,Ma_xp_A2100_n70_r16_v00_90000.hdf5,0
405,Ma_xp_A2100_n70_r16_v00_90000.hdf5,0
406,Ma_xp_A2100_n70_r16_v00_90000.hdf5,0
