row_index,physical_file,fold_index
119,Ma_xp_A2000_n65_r11_v00_90000.hdf5,1
120,Ma_xp_A2000_n65_r11_v00_90000.hdf5,1
121,Ma_xp_A2000_n65_r11_v00_90000.hdf5,1
122,Ma_xp_A2000_n65_r11_v00_90000.hdf5,1
123,Ma_xp_A2000_n65_r11_v00_90000.hdf5,1
124,Ma_xp_A2000_n65_r11_v00_90000.hdf5,1
125,Ma_xp_A2000_n65_r11_v00_90000.hdf5,1
126,Ma_xp_A2000_n65_r11_v00_90000.hdf5,1
127,Ma_xp_A2000_n65_r12_v00_90000.hdf5,0
128,Ma_xp_A2000_n65_r12_v00_90000.hdf5,0
129,Ma_xp_A2000_n65_r12_v00_90000.hdf5,0
130,Ma_xp_A2000_n65_r12_v00_90000.hdf5,0
131,Ma_xp_A2000_n65_r12_v00_90000.hdf5,0
132,Ma_xp_A2000_n65_r12_v00_90000.hdf5,0
133,Ma_xp_A2000_n65_r12_v00_90000.hdf5,0
134,Ma_xp_A2000_n65_r12_v00_90000.hdf5,0
135,Ma_xp_A2000_n65_r12_v00_90000.hdf5,0
136,Ma_xp_A2000_n65_r12_v02_90000.hdf5,2
137,Ma_xp_A2000_n65_r12_v04_90000.hdf5,4
138,Ma_xp_A2000_n65_r12_v06_90000.hdf5,4
139,Ma_xp_A2000_n65_r12_v08_90000.hdf5,3
140,Ma_xp_A2000_n65_r12_v10_90000.hdf5,2
141,Ma_xp_A2000_n65_r12_v12_90000.hdf5,1
142,Ma_xp_A2000_n65_r12_v14_90000.hdf5,0
143,Ma_xp_A2000_n65_r12_v16_90000.hdf5,4
144,Ma_xp_A2000_n65_r13_v00_90000.hdf5,0
145,Ma_xp_A2000_n65_r13_v00_90000.hdf5,0
146,Ma_xp_A2000_n65_r13_v00_90000.hdf5,0
147,Ma_xp_A2000_n65_r13_v00_90000.hdf5,0
148,Ma_xp_A2000_n65_r13_v00_90000.hdf5,0
149,Ma_xp_A2000_n65_r13_v00_90000.hdf5,0
150,Ma_xp_A2000_n65_r13_v00_90000.hdf5,0
151,Ma_xp_A2000_n65_r13_v00_90000.hdf5,0
152,Ma_xp_A2000_n65_r13_v00_90000.hdf5,0
153,Ma_xp_A2000_n65_r14_v00_90000.hdf5,1
154,Ma_xp_A2000_n65_r14_v00_90000.hdf5,1
155,Ma_xp_A2000_n65_r14_v00_90000.hdf5,1
156,Ma_xp_A2000_n65_r14_v00_90000.hdf5,1
157,Ma_xp_A2000_n65_r14_v00_90000.hdf5,1
158,Ma_xp_A2000_n65_r14_v00_90000.hdf5,1
159,Ma_xp_A2000_n65_r14_v00_90000.hdf5,1
160,Ma_xp_A2000_n65_r14_v00_90000.hdf5,1
161,Ma_xp_A2000_n65_r14_v00_90000.hdf5,1
162,Ma_xp_A2000_n65_r14_v02_90000.hdf5,1
163,Ma_xp_A2000_n65_r14_v04_90000.hdf5,0
164,Ma_xp_A2000_n65_r14_v06_90000.hdf5,4
165,Ma_xp_A2000_n65_r14_v08_90000.hdf5,3
166,Ma_xp_A2000_n65_r14_v10_90000.hdf5,2
167,Ma_xp_A2000_n65_r15_v00_90000.hdf5,3
168,Ma_xp_A2000_n65_r15_v00_90000.hdf5,3
169,Ma_xp_A2000_n65_r15_v00_90000.hdf5,3
170,Ma_xp_A2000_n65_r15_v00_90000.hdf5,3
171,Ma_xp_A2000_n65_r15_v00_90000.hdf5,3
172,Ma_xp_A2000_n65_r15_v00_90000.hdf5,3
173,Ma_xp_A2000_n65_r15_v00_90000.hdf5,3
174,Ma_xp_A2000_n65_r15_v00_90000.hdf5,3
175,Ma_xp_A2000_n65_r15_v00_90000.hdf5,3
176,Ma_xp_A2000_n65_r16_v00_90000.hdf5,2
177,Ma_xp_A2000_n65_r16_v00_90000.hdf5,2
178,Ma_xp_A2000_n65_r16_v00_90000.hdf5,2
179,Ma_xp_A2000_n65_r16_v00_90000.hdf5,2
180,Ma_xp_A2000_n65_r16_v00_90000.hdf5,2
181,Ma_xp_A2000_n65_r16_v00_90000.hdf5,2
182,Ma_xp_A2000_n65_r16_v00_90000.hdf5,2
183,Ma_xp_A2000_n65_r16_v00_90000.hdf5,2
184,Ma_xp_A2000_n65_r16_v00_90000.hdf5,2
185,Ma_xp_A2000_n65_r16_v02_90000.hdf5,4
186,Ma_xp_A2000_n65_r16_v04_90000.hdf5,3
187,Ma_xp_A2000_n65_r16_v06_90000.hdf5,2
188,Ma_xp_A2000_n65_r16_v08_90000.hdf5,1
189,Ma_xp_A2000_n65_r16_v10_90000.hdf5,0
190,Ma_xp_A2000_n65_r17_v00_90000.hdf5,1
191,Ma_xp_A2000_n65_r17_v00_90000.hdf5,1
192,Ma_xp_A2000_n65_r17_v00_90000.hdf5,1
193,Ma_xp_A2000_n65_r17_v00_90000.hdf5,1
194,Ma_xp_A2000_n65_r17_v00_90000.hdf5,1
195,Ma_xp_A2000_n65_r17_v00_90000.hdf5,1
196,Ma_xp_A2000_n65_r17_v00_90000.hdf5,1
197,Ma_xp_A2000_n65_r17_v00_90000.hdf5,1
198,Ma_xp_A2000_n65_r17_v00_90000.hdf5,1
199,Ma_xp_A2000_n65_r18_v00_90000.hdf5,0
200,Ma_xp_A2000_n65_r18_v00_90000.hdf5,0
201,Ma_xp_A2000_n65_r18_v00_90000.hdf5,0
202,Ma_xp_A2000_n65_r18_v00_90000.hdf5,0
203,Ma_xp_A2000_n65_r18_v00_90000.hdf5,0
204,Ma_xp_A2000_n65_r18_v00_90000.hdf5,0
205,Ma_xp_A2000_n65_r18_v00_90000.hdf5,0
206,Ma_xp_A2000_n65_r18_v00_90000.hdf5,0
207,Ma_xp_A2000_n65_r18_v00_90000.hdf5,0
208,Ma_xp_A2000_n65_r18_v02_90000.hdf5,2
209,Ma_xp_A2000_n65_r18_v04_90000.hdf5,1
210,Ma_xp_A2000_n65_r18_v06_90000.hdf5,0
211,Ma_xp_A2000_n65_r18_v08_90000.hdf5,4
212,Ma_xp_A2000_n65_r18_v10_90000.hdf5,3
213,Ma_xp_A2000_n65_r19_v00_90000.hdf5,4
214,Ma_xp_A2000_n65_r19_v00_90000.hdf5,4
215,Ma_xp_A2000_n65_r19_v00_90000.hdf5,4
216,Ma_xp_A2000_n65_r19_v00_90000.hdf5,4
217,Ma_xp_A2000_n65_r19_v00_90000.hdf5,4
218,Ma_xp_A2000_n65_r19_v00_90000.hdf5,4
219,Ma_xp_A2000_n65_r19_v00_90000.hdf5,4
220,Ma_xp_A2000_n65_r19_v00_90000.hdf5,4
221,Ma_xp_A2000_n65_r19_v00_90000.hdf5,4
222,Ma_xp_A2000_n65_r20_v00_90000.hdf5,3
223,Ma_xp_A2000_n65_r20_v00_90000.hdf5,3
224,Ma_xp_A2000_n65_r20_v00_90000.hdf5,3
225,Ma_xp_A2000_n65_r20_v00_90000.hdf5,3
226,Ma_xp_A2000_n65_r20_v00_90000.hdf5,3
227,Ma_xp_A2000_n65_r20_v00_90000.hdf5,3
228,Ma_xp_A2000_n65_r20_v00_90000.hdf5,3
229,Ma_xp_A2000_n65_r20_v00_90000.hdf5,3
230,Ma_xp_A2000_n65_r20_v00_90000.hdf5,3
231,Ma_xp_A2000_n65_r20_v02_90000.hdf5,1
232,Ma_xp_A2000_n65_r20_v04_90000.hdf5,4
233,Ma_xp_A2000_n65_r20_v06_90000.hdf5,2
234,Ma_xp_A2000_n65_r22_v00_90000.hdf5,2
235,Ma_xp_A2000_n65_r22_v00_90000.hdf5,2
236,Ma_xp_A2000_n65_r22_v00_90000.hdf5,2
237,Ma_xp_A2000_n65_r22_v00_90000.hdf5,2
238,Ma_xp_A2000_n65_r22_v00_90000.hdf5,2
239,Ma_xp_A2000_n65_r22_v00_90000.hdf5,2
240,Ma_xp_A2000_n65_r22_v00_90000.hdf5,2
241,Ma_xp_A2000_n65_r22_v00_90000.hdf5,2
242,Ma_xp_A2000_n65_r22_v00_90000.hdf5,2
243,Ma_xp_A2000_n65_r24_v00_90000.hdf5,4
244,Ma_xp_A2000_n65_r24_v00_90000.hdf5,4
245,Ma_xp_A2000_n65_r24_v00_90000.hdf5,4
246,Ma_xp_A2000_n65_r24_v00_90000.hdf5,4
247,Ma_xp_A2000_n65_r24_v00_90000.hdf5,4
248,Ma_xp_A2000_n65_r24_v00_90000.hdf5,4
249,Ma_xp_A2000_n65_r24_v00_90000.hdf5,4
250,Ma_xp_A2000_n65_r24_v00_90000.hdf5,4
251,Ma_xp_A2000_n65_r24_v00_90000.hdf5,4
252,Ma_xp_A2000_s030mz_n65_r12_v00_90000.hdf5,2
253,Ma_xp_A2000_s030x_n65_r12_v00_90000.hdf5,1
254,Ma_xp_A2000_s030x_n65_r16_v00_90000.hdf5,0
255,Ma_xp_A2000_s030x_n65_r16_v06_90000.hdf5,4
256,Ma_xp_A2000_s030x_n65_r20_v00_90000.hdf5,3
257,Ma_xp_A2000_s030y_n65_r12_v00_90000.hdf5,2
258,Ma_xp_A2000_s030y_n65_r16_v00_90000.hdf5,1
259,Ma_xp_A2000_s030y_n65_r16_v06_90000.hdf5,1
260,Ma_xp_A2000_s030y_n65_r20_v00_90000.hdf5,4
261,Ma_xp_A2000_s030z_n65_r11_v00_90000.hdf5,3
262,Ma_xp_A2000_s030z_n65_r12_v00_90000.hdf5,2
263,Ma_xp_A2000_s030z_n65_r12_v02_90000.hdf5,1
264,Ma_xp_A2000_s030z_n65_r12_v04_90000.hdf5,0
265,Ma_xp_A2000_s030z_n65_r12_v06_90000.hdf5,4
266,Ma_xp_A2000_s030z_n65_r12_v08_90000.hdf5,3
267,Ma_xp_A2000_s030z_n65_r12_v10_90000.hdf5,2
268,Ma_xp_A2000_s030z_n65_r12_v12_90000.hdf5,1
269,Ma_xp_A2000_s030z_n65_r12_v14_90000.hdf5,0
270,Ma_xp_A2000_s030z_n65_r12_v16_90000.hdf5,4
271,Ma_xp_A2000_s030z_n65_r13_v00_90000.hdf5,3
272,Ma_xp_A2000_s030z_n65_r14_v00_90000.hdf5,2
273,Ma_xp_A2000_s030z_n65_r15_v00_90000.hdf5,1
274,Ma_xp_A2000_s030z_n65_r16_v00_90000.hdf5,0
275,Ma_xp_A2000_s030z_n65_r16_v02_90000.hdf5,4
276,Ma_xp_A2000_s030z_n65_r16_v06_90000.hdf5,3
277,Ma_xp_A2000_s030z_n65_r16_v08_90000.hdf5,2
278,Ma_xp_A2000_s030z_n65_r16_v10_90000.hdf5,1
279,Ma_xp_A2000_s030z_n65_r17_v00_90000.hdf5,0
280,Ma_xp_A2000_s030z_n65_r18_v00_90000.hdf5,4
281,Ma_xp_A2000_s030z_n65_r19_v00_90000.hdf5,0
282,Ma_xp_A2000_s030z_n65_r20_v00_90000.hdf5,1
283,Ma_xp_A2000_s030z_n65_r20_v02_90000.hdf5,2
284,Ma_xp_A2000_s030z_n65_r20_v04_90000.hdf5,0
285,Ma_xp_A2000_s030z_n65_r20_v06_90000.hdf5,4
286,Ma_xp_A2000_s030z_n65_r20_v08_90000.hdf5,3
287,Ma_xp_A2000_s030z_n65_r20_v10_90000.hdf5,2
288,Ma_xp_A2000_s030z_n65_r22_v00_90000.hdf5,1
289,Ma_xp_A2000_s030z_n65_r24_v00_90000.hdf5,0
290,Ma_xp_A2000_s030z_n65_r26_v00_90000.hdf5,4
291,Ma_xp_A2000_s030z_n65_r28_v00_90000.hdf5,3
292,Ma_xp_A2000_s030z_n65_r30_v00_90000.hdf5,2
293,Ma_xp_A2000_s036mz_n65_r12_v00_90000.hdf5,1
294,Ma_xp_A2000_s036x_n65_r12_v00_90000.hdf5,0
295,Ma_xp_A2000_s036x_n65_r16_v00_90000.hdf5,4
296,Ma_xp_A2000_s036x_n65_r16_v06_90000.hdf5,3
297,Ma_xp_A2000_s036x_n65_r20_v00_90000.hdf5,1
298,Ma_xp_A2000_s036y_n65_r12_v00_90000.hdf5,2
299,Ma_xp_A2000_s036y_n65_r16_v00_90000.hdf5,0
300,Ma_xp_A2000_s036y_n65_r16_v06_90000.hdf5,4
301,Ma_xp_A2000_s036y_n65_r20_v00_90000.hdf5,3
302,Ma_xp_A2000_s036z_n65_r12_v00_90000.hdf5,2
303,Ma_xp_A2000_s036z_n65_r16_v00_90000.hdf5,1
304,Ma_xp_A2000_s036z_n65_r16_v06_90000.hdf5,0
305,Ma_xp_A2000_s036z_n65_r20_v00_90000.hdf5,4
306,Ma_xp_A2000_s047mz_n65_r12_v00_90000.hdf5,3
307,Ma_xp_A2000_s047mz_n65_r16_v00_90000.hdf5,2
308,Ma_xp_A2000_s047mz_n65_r16_v06_90000.hdf5,1
309,Ma_xp_A2000_s047x_n65_r12_v00_90000.hdf5,0
310,Ma_xp_A2000_s047x_n65_r16_v00_90000.hdf5,4
311,Ma_xp_A2000_s047x_n65_r16_v06_90000.hdf5,3
312,Ma_xp_A2000_s047x_n65_r20_v00_90000.hdf5,4
313,Ma_xp_A2000_s047y_n65_r12_v00_90000.hdf5,2
314,Ma_xp_A2000_s047y_n65_r16_v00_90000.hdf5,4
315,Ma_xp_A2000_s047y_n65_r16_v06_90000.hdf5,1
316,Ma_xp_A2000_s047y_n65_r20_v00_90000.hdf5,3
317,Ma_xp_A2000_s047z_n65_r11_v00_90000.hdf5,2
318,Ma_xp_A2000_s047z_n65_r12_v00_90000.hdf5,1
319,Ma_xp_A2000_s047z_n65_r12_v02_90000.hdf5,0
320,Ma_xp_A2000_s047z_n65_r12_v04_90000.hdf5,4
321,Ma_xp_A2000_s047z_n65_r12_v06_90000.hdf5,3
322,Ma_xp_A2000_s047z_n65_r12_v08_90000.hdf5,2
323,Ma_xp_A2000_s047z_n65_r12_v10_90000.hdf5,1
324,Ma_xp_A2000_s047z_n65_r12_v12_90000.hdf5,0
325,Ma_xp_A2000_s047z_n65_r12_v14_90000.hdf5,4
326,Ma_xp_A2000_s047z_n65_r12_v16_90000.hdf5,3
327,Ma_xp_A2000_s047z_n65_r13_v00_90000.hdf5,2
328,Ma_xp_A2000_s047z_n65_r14_v00_90000.hdf5,1
329,Ma_xp_A2000_s047z_n65_r15_v00_90000.hdf5,0
330,Ma_xp_A2000_s047z_n65_r16_v00_90000.hdf5,4
331,Ma_xp_A2000_s047z_n65_r16_v02_90000.hdf5,3
332,Ma_xp_A2000_s047z_n65_r16_v04_90000.hdf5,2
333,Ma_xp_A2000_s047z_n65_r16_v06_90000.hdf5,1
334,Ma_xp_A2000_s047z_n65_r16_v08_90000.hdf5,0
335,Ma_xp_A2000_s047z_n65_r16_v10_90000.hdf5,4
336,Ma_xp_A2000_s047z_n65_r17_v00_90000.hdf5,3
337,Ma_xp_A2000_s047z_n65_r18_v00_90000.hdf5,2
338,Ma_xp_A2000_s047z_n65_r19_v00_90000.hdf5,1
339,Ma_xp_A2000_s047z_n65_r20_v00_90000.hdf5,0
340,Ma_xp_A2000_s047z_n65_r20_v02_90000.hdf5,4
341,Ma_xp_A2000_s047z_n65_r20_v04_90000.hdf5,3
342,Ma_xp_A2000_s047z_n65_r20_v06_90000.hdf5,2
343,Ma_xp_A2000_s047z_n65_r20_v08_90000.hdf5,1
344,Ma_xp_A2000_s047z_n65_r20_v10_90000.hdf5,0
345,Ma_xp_A2000_s047z_n65_r22_v00_90000.hdf5,4
346,Ma_xp_A2000_s047z_n65_r24_v00_90000.hdf5,0
347,Ma_xp_A2000_s047z_n65_r26_v00_90000.hdf5,1
348,Ma_xp_A2000_s047z_n65_r28_v00_90000.hdf5,2
349,Ma_xp_A2000_s047z_n65_r30_v00_90000.hdf5,0
350,Ma_xp_A2000_s086mz_n65_r12_v00_90000.hdf5,4
351,Ma_xp_A2000_s086mz_n65_r16_v00_90000.hdf5,3
352,Ma_xp_A2000_s086mz_n65_r16_v06_90000.hdf5,2
353,Ma_xp_A2000_s086x_n65_r12_v00_90000.hdf5,1
354,Ma_xp_A2000_s086x_n65_r16_v00_90000.hdf5,0
355,Ma_xp_A2000_s086x_n65_r16_v06_90000.hdf5,4
356,Ma_xp_A2000_s086x_n65_r20_v00_90000.hdf5,3
357,Ma_xp_A2000_s086y_n65_r12_v00_90000.hdf5,2
358,Ma_xp_A2000_s086y_n65_r16_v00_90000.hdf5,1
359,Ma_xp_A2000_s086y_n65_r16_v06_90000.hdf5,0
360,Ma_xp_A2000_s086y_n65_r20_v00_90000.hdf5,4
361,Ma_xp_A2000_s086z_n65_r12_v00_90000.hdf5,3
362,Ma_xp_A2000_s086z_n65_r16_v00_90000.hdf5,1
363,Ma_xp_A2000_s086z_n65_r16_v06_90000.hdf5,2
364,Ma_xp_A2000_s086z_n65_r20_v00_90000.hdf5,0
365,Ma_xp_A2000_s170mz_n65_r12_v00_90000.hdf5,4
366,Ma_xp_A2000_s170mz_n65_r16_v00_90000.hdf5,3
367,Ma_xp_A2000_s170mz_n65_r16_v06_90000.hdf5,2
368,Ma_xp_A2000_s170x_n65_r12_v00_90000.hdf5,1
369,Ma_xp_A2000_s170x_n65_r16_v00_90000.hdf5,0
370,Ma_xp_A2000_s170x_n65_r16_v06_90000.hdf5,4
371,Ma_xp_A2000_s170x_n65_r20_v00_90000.hdf5,3
372,Ma_xp_A2000_s170y_n65_r12_v00_90000.hdf5,2
373,Ma_xp_A2000_s170y_n65_r16_v00_90000.hdf5,1
374,Ma_xp_A2000_s170y_n65_r16_v06_90000.hdf5,0
375,Ma_xp_A2000_s170y_n65_r20_v00_90000.hdf5,4
376,Ma_xp_A2000_s170z_n65_r12_v00_90000.hdf5,3
377,Ma_xp_A2000_s170z_n65_r16_v00_90000.hdf5,3
378,Ma_xp_A2000_s170z_n65_r16_v06_90000.hdf5,1
379,Ma_xp_A2000_s170z_n65_r20_v00_90000.hdf5,0
380,Ma_xp_A2000c30_n65_r12_v00_90000.hdf5,3
381,Ma_xp_A2000c30_n65_r12_v02_90000.hdf5,3
382,Ma_xp_A2000c30_n65_r12_v04_90000.hdf5,1
383,Ma_xp_A2000c30_n65_r12_v06_90000.hdf5,2
384,Ma_xp_A2000c30_n65_r12_v08_90000.hdf5,3
385,Ma_xp_A2000c30_n65_r12_v10_90000.hdf5,4
386,Ma_xp_A2000c30_n65_r14_v00_90000.hdf5,0
387,Ma_xp_A2000c30_n65_r16_v00_90000.hdf5,1
388,Ma_xp_A2000c30_n65_r16_v02_90000.hdf5,2
389,Ma_xp_A2000c30_n65_r16_v04_90000.hdf5,3
390,Ma_xp_A2000c30_n65_r16_v06_90000.hdf5,0
391,Ma_xp_A2000c30_n65_r16_v10_90000.hdf5,4
392,Ma_xp_A2000c30_n65_r18_v00_90000.hdf5,2
393,Ma_xp_A2000c30_n65_r20_v00_90000.hdf5,1
394,Ma_xp_A2000c30_n65_r22_v00_90000.hdf5,4
395,Ma_xp_A2050_n70_r12_v00_90000.hdf5,4
396,Ma_xp_A2050_n70_r12_v00_90000.hdf5,4
397,Ma_xp_A2050_n70_r12_v00_90000.hdf5,4
398,Ma_xp_A2050_n70_r16_v00_90000.hdf5,3
399,Ma_xp_A2050_n70_r16_v00_90000.hdf5,3
400,Ma_xp_A2050_n70_r16_v00_90000.hdf5,3
401,Ma_xp_A2100_n70_r12_v00_90000.hdf5,0
402,Ma_xp_A2100_n70_r12_v00_90000.hdf5,0
403,Ma_xp_A2100_n70_r12_v00_90000.hdf5,0
404,Ma_xp_A2100_n70_r16_v00_90000.hdf5,1
405,Ma_xp_A2100_n70_r16_v00_90000.hdf5,1
406,Ma_xp_A2100_n70_r16_v00_90000.hdf5,1
